Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Customer,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
1/6/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"My parents bank with a well known bank that I will not name as fear of retribution. My name was on their account. My parents were scammed out of close to {$30000.00} dollars. The bank manager told me she tried to stop my parents and told my father to "" call one of your children '', and yet, never picked the phone up to call me. And yes, they admit to "" some mistakes were made '' but that is not good enough for me. I would like to see that the banking industry do more to protect this vulnerable population. I would like to see that steps be put into place that when a family member calls to alert any bank that they suspect their family members are being scammed, as I did twice and messages were taken and yet no one ever got back to me, that a "" different drop down list comes up '' and they are sent to the banks fraud department, before, not after the fraud has occurred as what happened in my situation.",None,TD BANK US HOLDING COMPANY,MA,010XX,None,Consent provided,Web,1/6/16,Closed with explanation,Yes,No,1730914
10/13/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"Wells Fargo opened numerous accounts that were unauthorized starting approx. XXXX, including XXXX credit card. One time a significant amount of money was transferred into my new account. I brushed it off as employee incompetence, and because I had a large number of automatic withdrawals coming out of that account each month, chose not to change banks. After hearing that Wells Fargo did this millions of times, I called to have my account closed immediately. I had a previous issue with overdraft fees being charged that should not have been charged, and an unauthorized transaction in the amount of nearly {$4000.00}, so I was overdraft at the time. On Sunday, XXXX XXXX, XXXX, I called to finally close my account. I told them I had been the victim of the fraudulent schemes and was sick of being charged overdraft fees for unauthorized transactions. They refunded enough fees to get my account to a balance of XXXX and told me it was closed. I wanted my account closed immediately due to fraud, and notified the multiple companies whose payments were debited automatically from that account, however most told me that the pending payments could not be stopped. Wells Fargo in fact apparently did NOT close my account, and charged me, as of today, nearly {$1200.00} in overdraft fees for these transactions I was not able to stop. ( The whole reason I went to the trouble of closing my account was because they committed fraud and forgery to begin with, which was their doing to begin with. ) After calling their customer service number, I was told they would waive approximately 15 % of the fees. I told them I was n't paying any of the fees because I had to immediately close my account due to their fraudulent activities and could not stop the automatic payments. Furthermore, I do not understand how a "" closed '' account could incur those fees. They accused me of not having closed the account, even though all my other accounts were closed that day, and I have phone records to prove I was on the phone that day XXXX XXXX XXXX ) with them. Furthermore, they credited exactly enough fees to bring my balance to {$0.00}. They accused me of lying. My wife heard the conversation as well. Finally, I began receiving autodialed calls trying to collect the overdraft balance that I do not owe. I told Wells Fargo they were harassing me and I did not ever wanted to be contacted by their bank again, for any reason. They responded that they took my phone number off the account but that I may receive future calls because my account is overdraft. I responded that I would sue them for harassment if they did not leave me alone. I want my account CLOSED, the fees that I DO NOT owe taken off, and I want Wells Fargo to stop harassing me immediately. Further, I want compensation for all the time I have wasted the past 3 years dealing with their fraudulent accounts and fees.",None,WELLS FARGO & COMPANY,CO,None,None,Consent provided,Web,10/13/16,Closed with monetary relief,No,No,2159033
10/20/16,Bank account or service,Savings account,"Account opening, closing, or management",None,"Four or five months ago I gave my wife {$10000.00} so she would have money in her own name. I searched for the best bank offer and found an offer from Suntrust bank in XXXX, FL. My wife and I went there and set up the account. We told the bank officer that we were there only because of the offer of a {$250.00} bonus for large amounts that were left on deposit for at least three months. The account was set up in my and my wife 's names. The bonus was never posted to the account. Last week we went to the bank and talked to a different bank officer. He said the original bank officer was no longer with the bank. He checked the account and said that we were denied the bonus because we had not set up direct deposit to the account. I informed him that we had n't signed up for a direct deposit offer, that since my wife has no regular income that would n't make sense. In fact the original bank officer looked through the offers and rejected that one because of the direct deposit requirement, the offer she signed us up for had no such requirement. The bank officer we were dealing with on the later visit asked for proof of the offer that we were stating we had been given. We had not kept proof, we assumed that the original bank officer was capable of giving us an offer that we qualified for and that the bank was capable of tracking their bonus offers. Those assumptions proved to be false. After much delay we were told that the bank would not honor the offer. We promptly withdrew the money.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",FL,326XX,Older American,Consent provided,Web,10/20/16,Closed with explanation,Yes,Yes,2172301
3/10/17,Bank account or service,Checking account,"Account opening, closing, or management",None,"I opened a checking account with Citibank on XX/XX/XXXX through a promotion which was supposed to pay me a {$400.00} bonus. I should have received the bonus on XX/XX/XXXX. I have yet to receive the bonus. I called Citibank customer service on XX/XX/XXXX to resolve the issue, and was told they were opening an internal investigation to resolve the issue within 10 days. I have not heard back from them since, nor have I received my {$400.00} bonus.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,752XX,None,Consent provided,Web,3/10/17,Closed with explanation,Yes,No,2381402
07/29/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I opened a Citigold interest checking account on XXXX XXXX 2016 after getting an offer via email to receive XXXX AAdvantage miles after fulfilling certain terms. I also saw the same offer at the Citigold website at the time so I knew the offer was legit. I fulfilled all their terms by XXXX XXXX, 2016 and I inquired via secured message on when I can expect my reward to post. I got a reply from XXXX XXXX XXXX that I qualify for the promotional offer and have also fulfilled the terms and conditions and will just have to wait until XX/XX/XXXX for my rewards to post. I sent a follow up secure message on XX/XX/XXXX and received reply on XXXX XXXX from XXXX XXXX that I will not get my reward even if I fulfilled the requirements unless I can show proof that I was targeted to get the promotional offer. I called immediately, talked to representative XXXX, and told him about the message I got from XXXX XXXX that made me confident about getting my reward. I did n't bother to save the email offer because of the assurance I received from XXXX XXXX. I had the impression that she verified that I was indeed on their target list of clients since I have Citi credit cards. The message XXXX XXXX XXXX gave me was very disappointing to say the least. I do n't know if I can trust whatever the representatives tell me in matters like this.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",AR,729XX,None,Consent provided,Web,07/29/16,Closed with non-monetary relief,Yes,No,2037212
6/1/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"On XXXX XXXX 2016, I was induced to open a Citibank CitiGold checking account with a bonus offer. The bonus offered XXXX AAdvantage Miles in exchange for opening a CitiGold account by XXXX/XXXX/16, and meeting XXXX other requirements : the required minimum amount {$1000.00} of purchases using the CitibankDebit Card must be posted to the new checking account AND XXXX qualifying bill payment must be posted to the new checking account each month for XXXX consecutive calendar months XXXX AAdvantage Miles equals approximately {$800.00} in travel on XXXX XXXX when redeemed for award travel ( or XXXX domestic round trips ). After enrolling with the promotion code, I contacted Citi and received confirmation that the offer was attached to my account. On XXXX XXXX 2016, I confirmed with Citi that the offer is attached to my account. In the secured message, XXXX XXXX confirmed it by "" In review of your account, this promotion is for our targeted Citi credit card members. I can confirm the promotion is attached and I have provided our requirements for XXXX promotion with your online application on XXXX/XXXX/16. Please keep in mind ; you will not be eligible for this offer if you were a signer on or owner of another Citibank consumer checking account within the last 60 calendar days. If this does not apply to you, please disregard. '' She had confirmed that the offer is attached to my account and as long as I was a signer on or owner of another Citibank consumer checking account within the last 60 calendar days, I would be eligible ( since this is first time I signed up for Citibank 's checking account '' I fulfilled all terms of the offer and contacted Citi to confirm that I had met the requirements on XXXX XXXX 2016. XXXX XXXX from the Citibank confirmed it via secured message stating "" Welcome to Citibank, my name is XXXX I will be happy to assist you in regards to the XXXX AA Miles promotions for your Citigold Checking account ending in XXXX After reviewing your account I am showing that the requirements have been fulfilled. The AAdvantage bonus miles will be credited by Citibank to your AAdvantage account within 90 calendar days from the date when you have completed all offer requirements. Bonus miles credited will be based on your account package at the time of disbursement. On XXXX/XXXX/2016 is when I see the requirements were fulfilled. 90 days from that date will be XXXX/XXXX/2016. '' On XXXX XXXX, 2016, I contacted Citi to re-confirm that I will get the bonus miles as promised by XXXX/XXXX/2016. However, XXXX XXXX from Citibank all the sudden changed their words and said that I am not eligible to get the bonus miles. "" Unfortunately, you are not eligible for this AA miles promotion XXXX XXXX XXXX. While Citi does offer AA miles promotions at times, this offer is available only to targeted Citi card members who received the offer via a direct communication from Citi. Our records show you are not a targeted client. '' On XXXX XXXX, 2016, I appealed this denial, citing written confirmation from Citi that : The promotional offer is attached to my account and ; I met all requirements to receive my bonus. On XXXX XXXX, 2016, My appeal was denied. -- -- Even though I have been assured by Citi that I met all requirements to receive my bonus, the bank is now refusing to honor their end of the agreement. Citi must credit my account immediately or additional steps will be taken to collect my promised bonus. I am extraordinarily unhappy and suspect that Citi routinely and systematically defrauds their customers.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",GA,303XX,None,Consent provided,Web,6/1/16,Closed with non-monetary relief,Yes,No,1949813
6/6/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I signed up for a CitiGold checking account promotion where XXXX bonus points would be granted if bill payment was used twice within 60 days. I have electronic confirmation that the promotion was linked to my account, that the requirements of the promotion were met, and that the points would be posted by XXXX/XXXX/16. On XXXX the points had not posted, so I inquired through chat and was told that they were scheduled to post that day. They did not post. I recontacted Citi on XXXX/XXXX/16. I was told that an investigation would be opened and I would be contacted by XXXX/XXXX/16 with the results. There was no contact on XX/XX/XXXX. On XX/XX/XXXX, I contacted Citi again and was told that they have no record of me being targeted for the promotion and the promotion was being denied. This is despite me having XXXX different confirmations by Citi - that the promotion was tied to my account, the criteria was met, and that the points were scheduled to post.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MI,None,None,Consent provided,Web,6/6/16,Closed with non-monetary relief,Yes,No,1955965
07/23/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"I had an account with Wells Fargo that I had asked to be closed due to fraudulent activity on the account. Wells Fargo agreed to close the account, yet never did. I called several times, and even went into the branch where the banker was supposed to close the account and was told at least twice they would close it and still ... they never did. After a while a reoccurring charge on the account came through and I was charged over {$100.00} in overdraft fees. The bank never paid out the charges, and still wanted me to pay over {$100.00} back to them. I explained multiple times that if they would have closed the account like they said they had the multiple times I had asked, then there would not be an overdraft to pay at all. After over 6 months of going back and forth, they agreed to pay {$42.00} and said that I would still be responsibility for {$60.00}. Mind you, they want me to now pay {$60.00} to the bank for money they never paid out on my behalf - all because the account was never closed the multiple times I asked for it to be closed and the multiple times I had been told by bankers that they were closing it.",Company chooses not to provide a public response,WELLS FARGO & COMPANY,FL,334XX,None,Consent provided,Web,07/23/15,Closed with monetary relief,Yes,Yes,1483039
11/22/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"The Bank of America, where I have had a checking account for many years and live abroad, continues to reduce the scope of its communications with its customers, reducing the topics acceptable on chat and on email. This is the second complaint I have made. The head office promised last time to improve, instead it is worse. Also, despite a free phone number for overseas calls, it is not operable, as a digital voice message does not match with the operator nor automatic phone connection. Previously, the bank offered all options, message, chat or phone, for all topics. It seeks cost savings at consumer expense.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",None,None,Older American,Consent provided,Web,11/23/15,Closed with explanation,Yes,No,1667245
01/19/16,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",None,Capital One 360 has short changed us.,None,CAPITAL ONE FINANCIAL CORPORATION,PA,None,None,Consent provided,Web,01/19/16,Closed with explanation,Yes,No,1749032
08/14/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"A clerk of Bank of America named XXXX XXXX stole {$100.00} from my cash withdrawal today, Friday XXXX/XXXX/2015, at about XXXX CST. I closed my checking account number XXXX, with a cash withdrawal of {$780.00} but I only counted $ XXXX of XXXX XXXX XXXX XXXX TX XXXX ( XXXX ) XXXX",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,770XX,None,Consent provided,Web,08/14/15,Closed with explanation,Yes,No,1519572
1/4/17,Bank account or service,Checking account,"Account opening, closing, or management",None,"I opened bank account at Bank of America a month ago. Today I tried to deposit a check, and realized that they closed my account. I visited a branch, the banker did n't know why and he called somewhere ( maybe headquarter? ), but they did n't tell me why they closed it. The banker said that they just decided to close it-It really frustrated me. The only thing I did after opening it was making donation. There was no overdraft and I did n't do anything wrong. I XXXX about "" account closed '', and just found out that it could affect me to have problem to open account at any bank.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MO,None,None,Consent provided,Web,1/4/17,Closed with explanation,Yes,Yes,2275060
11/7/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"I request a XXXX credit report and the report indicates a Florida address, phone and an account with Wells Fargo Bank that are not mine. I communicate with Wells Fargo Bank and I have no options for removing this account does not belong to me. I have been a victim of identity theft.",Company chooses not to provide a public response,WELLS FARGO & COMPANY,PR,728,None,Consent provided,Web,11/7/15,Closed with explanation,Yes,No,1644988
4/8/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,Long story made short ... ... ..Aunt had fraudulent activity on her accounts at Suntrust. XXXX was notified and investigated the case and the case was closed. Aunt made me her Power of Attorney when she entered XXXX home so that I could help her with her bills. SunTrust refuses to let me stating her accounts are ALL frozen because of investigaton. XXXX says they never told SunTrust to do this. My Aunt ca n't touch her money even though its her social security money that is in accounts. If she needs something she cant even touch her own money.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",FL,328XX,None,Consent provided,Web,4/8/16,Closed with explanation,Yes,Yes,1870323
6/4/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"My bank account was fraudulently used to where now my credit and opening a bank account privileges have been severely affected. I contacted the bank immediately and they were not helpful and actually quite rude when it came down to it. I am highly upset because through no fault of my own, my future with other banks/creditors has been adversely affected.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",SC,292XX,None,Consent provided,Web,6/4/15,Closed with explanation,Yes,Yes,1406116
8/5/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I have repeatedly requested my Bank statements from BOA at least four times and to date BOA has not delivered my Bank Account Statements as requested. I originally requested these statements due to the discovery of fraud being committed on my online BOA profile connected to my BOA Bank account. In XX/XX/XXXX I discovered my bank account was being accessed by someone else without my knowledge or permission and they had changed my address Information to an address I have never resided at and am completely unfamiliar with. I also noticed my ex-wife 's name was also list on my account where she should not have been as I thought she had been removed ( we divorced in XXXX and per our Divorce agreement this account belongs solely to me ). I contacted BOA immediately and reported this fraud, BOA told me someone was accessing my account online and asked if any money had been taken out. I informed BOA that I was unsure if any money had been removed and would first need to review all the previous Bank Statements before I could answer that question. I asked BOA to send my all the prior bank statements dating back to when the account was first being accessed by this other party online. BOA then stated there was nothing they could do unless money had been removed. This did not sound right nor set well with me so I contacted BOA again with my concerns and I asked them how long and often was this other person accessing my BOA Bank account online and BOA stated off and on since XXXX. Again BOA asked if any money had been taken out and again I stated that I was unsure if any money had been removed. Again I requested my BOA statements so I could answer that question. BOA said there was nothing they could do and my only option was to close the account, so I closed the account as instructed by BOA. This still did not sound legal to me so I started to research but due to circumstance beyond my control, I could not devote enough time to the issue at the time. My Father passed away and I was left to handle his affairs and while subsequently being the sole provider of care for my elderly mother who now has XXXX all while dealing with being XXXX and subjected to continued character assault / harassment by my ex-wife. I discovered that the repeated accessing of my online account constituted to computer fraud and online stalking. I contacted my local BOA and spoke to XXXX XXXX about my concerns and again requested my previous Bank Statements. I was told I would receive the statements via email and given two fraud complaint numbers to reference in the future. I never received the statements so I called BOA again and again I was told there was nothing they could do. My Fianc called the US Secret Service on my behalf, the US Secret Service instructed us to contact BOA again file a Fraud Complaint with BOA they needed to hear from a BOA Fraud Investigator and gave her contact information for the BOA Fraud investigator to deliver any evidence to. Again I contacted BOA this time I went to BOA in XXXX MO XXXX and spoke to XXXX on XXXX/XXXX/XXXX. XXXX informed me the Fraud Complaint numbers given to me by XXXX XXXX were fake as these numbers were not any kind of Fraud complaint numbers BOA uses. XXXX also informed me that whoever was accessing my BOA account had been doing so through my online profile from another IP address that was different from the one I normally used. I informed XXXX that my ex-wife had stolen my computer when she kicked me out of our marital home ( XXXX ) and asked if this was how someone could have been accessing my account. She informed it could be and looked to see if my ex-wife had her own online profile and discovered she did not have her own online profile nor has she ever had an online profile for this account. To date I still have not received a single statement.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,None,None,Consent provided,Web,8/5/16,Closed with explanation,Yes,Yes,2048768
04/25/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"My husband died in America and I was forced to return to XXXX XXXX. I 'm the Executor of his estate but the Bank of America refuses to pay me the balance in his account. There reason being? we are not going to be able to accept the documentation you provided to me to open an estate account. As we discussed before in the past, the documentation for the estate would have to be from a State of Florida Judge naming the personal representative to the estate. Once we have that documentation and a tax ID number for the estate we could then open an estate account for the funds that he had here at Bank of America to be deposited in and the personal representative could distribute the funds as they see fit.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32220,None,Consent provided,Web,04/25/16,Closed with explanation,Yes,No,1895436
01/24/17,Bank account or service,Checking account,"Account opening, closing, or management",None,"I am requesting Bank of America to review the decision on closing the account. I still have credit card with Bank of America and asking to allow me to have checking account. Previous checking account was closed on risk matter. I am having troubles with paying my bills with credit card from another account. Last time I entered incorrect account number and I thought that I paid the bill, but transaction did not go through. Bill due date passed and this resulted with credit score went down. I do want to keep Bank of America credit card. I am asking Bank of America to allow me to open new checking account. This would relieve all troubles I am facing with paying bills for credit card. Credit card : XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,112XX,None,Consent provided,Web,01/24/17,Closed with explanation,Yes,No,2308868
